Date,PnL Points,Lot Size,Pnl
01-03-2019,52.8,25,1320.00
05-03-2019,256.0508,25,6401.27
11-03-2019,-26.0389,25,-650.97
12-03-2019,266.8715,25,6671.79
13-03-2019,133.6072,25,3340.18
15-03-2019,89.8754,25,2246.88
22-03-2019,61.9139,25,1547.85
25-03-2019,-49.0413,25,-1226.03
26-03-2019,464.7214,25,11618.04
28-03-2019,-22.8728,25,-571.82
08-04-2019,44.1712,25,1104.28
10-04-2019,14.5305,25,363.26
16-04-2019,210.7,25,5267.50
26-04-2019,202.129,25,5053.23
30-04-2019,-118.815454,25,-2970.39
03-05-2019,-45.9837,25,-1149.59
06-05-2019,1.15,25,28.75
07-05-2019,193.1733,25,4829.33
09-05-2019,-115.6218528,25,-2890.55
14-05-2019,-116.32094,25,-2908.02
17-05-2019,51.1198,25,1278.00
20-05-2019,386.8,25,9670.00
23-05-2019,-125.3598,25,-3133.99
29-05-2019,69.5023,25,1737.56
30-05-2019,-126.2201248,25,-3155.50
31-05-2019,-124.9187208,25,-3122.97
06-06-2019,474.5,25,11862.50
12-06-2019,-69.3573,25,-1733.93
13-06-2019,-123.08485,25,-3077.12
20-06-2019,31.5665,25,789.16
25-06-2019,1.3544,25,33.86
01-07-2019,52.3,25,1307.50
02-07-2019,-125.22909,25,-3130.73
05-07-2019,-125.4479336,25,-3136.20
08-07-2019,448.4811,25,11212.03
11-07-2019,-86.9463,25,-2173.66
15-07-2019,-121.4415808,25,-3036.04
18-07-2019,129.3771,25,3234.43
19-07-2019,434.8243,25,10870.61
26-07-2019,76.5593,25,1913.98
30-07-2019,135.2579,25,3381.45
01-08-2019,55.6915,25,1392.29
05-08-2019,-110.9212,25,-2773.03
08-08-2019,68.9675,25,1724.19
13-08-2019,353.5172,25,8837.93
20-08-2019,-111.6794172,25,-2791.99
21-08-2019,-60.7737,25,-1519.34
22-08-2019,346.9319,25,8673.30
26-08-2019,-109.234,25,-2730.85
28-08-2019,9.728,25,243.20
29-08-2019,166.2482,25,4156.21
03-09-2019,-108.2022,25,-2705.05
04-09-2019,-108.9338144,25,-2723.35
06-09-2019,-109.5267064,25,-2738.17
12-09-2019,-112.2265804,25,-2805.66
17-09-2019,523.011,25,13075.28
19-09-2019,-107.3126904,25,-2682.82
20-09-2019,1838.1191,25,45952.98
25-09-2019,-31.6068,25,-790.17
26-09-2019,-120.3122464,25,-3007.81
30-09-2019,341.5203,25,8538.01
01-10-2019,-114.5427884,25,-2863.57
04-10-2019,295.9911,25,7399.78
09-10-2019,463.8502,25,11596.26
10-10-2019,-56.1471,25,-1403.68
15-10-2019,-114.8970748,25,-2872.43
17-10-2019,22.9937,25,574.84
22-10-2019,-118.9211308,25,-2973.03
29-10-2019,-22.6865,25,-567.16
06-11-2019,54.6,25,1365.00
08-11-2019,-124.0873728,25,-3102.18
13-11-2019,151.3751,25,3784.38
15-11-2019,-124.5427132,25,-3113.57
19-11-2019,-49.676,25,-1241.90
22-11-2019,-25.7166,25,-642.92
25-11-2019,178.4875,25,4462.19
28-11-2019,61.3006,25,1532.52
29-11-2019,-127.5826524,25,-3189.57
03-12-2019,-52.9733,25,-1324.33
06-12-2019,-39.5279,25,-988.20
12-12-2019,96.3419,25,2408.55
13-12-2019,128.9509,25,3223.77
26-12-2019,161.5541,25,4038.85
27-12-2019,266.65,25,6666.25
02-01-2020,69.7817,25,1744.54
03-01-2020,133.6461,25,3341.15
06-01-2020,305.15,25,7628.75
09-01-2020,162.15,25,4053.75
15-01-2020,-43.0842,25,-1077.11
17-01-2020,-5.95,25,-148.75
20-01-2020,106.0449,25,2651.12
22-01-2020,2.8271,25,70.68
27-01-2020,0.8256,25,20.64
01-02-2020,-123.2444,25,-3081.11
04-02-2020,228.2789,25,5706.97
06-02-2020,-125.7097416,25,-3142.74
11-02-2020,-26.9,25,-672.50
12-02-2020,-52.424,25,-1310.60
13-02-2020,117.2242,25,2930.61
14-02-2020,-123.280504,25,-3082.01
18-02-2020,-121.8753324,25,-3046.88
24-02-2020,-122.6976,25,-3067.44
26-02-2020,-120.92,25,-3023.00
27-02-2020,-120.2860008,25,-3007.15
28-02-2020,307.95,25,7698.75
04-03-2020,-74.9097,25,-1872.74
06-03-2020,-111.2044,25,-2780.11
09-03-2020,287.35,25,7183.75
12-03-2020,1106.65,25,27666.25
13-03-2020,-84,25,-2100.00
18-03-2020,-82.4953672,25,-2062.38
23-03-2020,-73.0598,25,-1826.49
26-03-2020,-80.585856,25,-2014.65
27-03-2020,-84.8946376,25,-2122.37
01-04-2020,-73.6467032,25,-1841.17
07-04-2020,-72.0892,25,-1802.23
08-04-2020,-80.8644,25,-2021.61
15-04-2020,-80.1941264,25,-2004.85
17-04-2020,-80.8,25,-2020.00
21-04-2020,-78.5694,25,-1964.24
24-04-2020,-78.001,25,-1950.03
27-04-2020,59.596,25,1489.90
28-04-2020,93.1825,25,2329.56
29-04-2020,-85.0278204,25,-2125.70
30-04-2020,-86.9196,25,-2172.99
04-05-2020,500,25,12500.00
08-05-2020,-79.647818,25,-1991.20
12-05-2020,-72.9870496,25,-1824.68
13-05-2020,-78.9146,25,-1972.87
14-05-2020,-76.1429804,25,-1903.57
18-05-2020,738.1345,25,18453.36
22-05-2020,-68.3751692,25,-1709.38
27-05-2020,-71.3910508,25,-1784.78
